home_team,away_team,home_score,away_score
Vörös Ördögök,Everton,2,0
Fulham,Manchester Kék,0,0
Brighton,Liverpool,0,1
Chelsea,Crystal Palace,1,3
Nottingham,Brentford,0,1
London Ágyúk,Tottenham,0,1
Wolverhampton,Newcastle,1,0
Aston Oroszlán,West Ham,0,1
Crystal Palace,Nottingham,0,0
Liverpool,Wolverhampton,1,0
Everton,London Ágyúk,0,2
West Ham,Manchester Kék,0,3
Brighton,Fulham,0,0
Newcastle,Chelsea,0,2
Tottenham,Aston Oroszlán,2,0
Brentford,Vörös Ördögök,0,0
Nottingham,Newcastle,1,0
Manchester Kék,Tottenham,1,0
London Ágyúk,Brentford,2,0
Wolverhampton,Brighton,1,2
Fulham,West Ham,0,1
Vörös Ördögök,Crystal Palace,1,0
Aston Oroszlán,Everton,0,0
Chelsea,Liverpool,2,1
Brentford,Aston Oroszlán,1,0
Wolverhampton,Fulham,1,0
Crystal Palace,London Ágyúk,0,0
Liverpool,Nottingham,2,0
Newcastle,Vörös Ördögök,1,1
Everton,Manchester Kék,0,1
Tottenham,West Ham,0,0
Brighton,Chelsea,0,2
Aston Oroszlán,Crystal Palace,0,1
Chelsea,Wolverhampton,2,0
West Ham,Everton,1,0
Manchester Kék,Brentford,0,1
Fulham,Tottenham,1,3
Nottingham,Brighton,1,0
London Ágyúk,Newcastle,0,3
Vörös Ördögök,Liverpool,1,1
Liverpool,London Ágyúk,0,0
Brentford,West Ham,3,1
Chelsea,Fulham,1,0
Newcastle,Aston Oroszlán,2,0
Crystal Palace,Manchester Kék,0,1
Everton,Tottenham,0,0
Brighton,Vörös Ördögök,1,2
Wolverhampton,Nottingham,1,0
London Ágyúk,Brighton,0,0
Vörös Ördögök,Wolverhampton,1,0
Manchester Kék,Newcastle,1,1
Nottingham,Chelsea,1,2
Fulham,Everton,0,0
Tottenham,Brentford,1,0
Aston Oroszlán,Liverpool,1,0
West Ham,Crystal Palace,0,0
Newcastle,West Ham,0,0
Chelsea,Vörös Ördögök,1,0
Liverpool,Manchester Kék,0,1
Crystal Palace,Tottenham,1,1
Brentford,Everton,0,0
Wolverhampton,London Ágyúk,1,0
Brighton,Aston Oroszlán,1,1
Nottingham,Fulham,2,0
Aston Oroszlán,Wolverhampton,1,0
Manchester Kék,Brighton,0,0
Everton,Crystal Palace,1,0
West Ham,Liverpool,0,1
Vörös Ördögök,Nottingham,1,0
London Ágyúk,Chelsea,2,1
Tottenham,Newcastle,0,0
Fulham,Brentford,1,1
Liverpool,Tottenham,1,1
Wolverhampton,Manchester Kék,0,0
Crystal Palace,Brentford,2,0
Brighton,West Ham,2,1
Chelsea,Aston Oroszlán,0,0
Vörös Ördögök,Fulham,0,0
Newcastle,Everton,0,2
Nottingham,London Ágyúk,1,0
Manchester Kék,Chelsea,1,0
London Ágyúk,Vörös Ördögök,0,0
West Ham,Wolverhampton,0,0
Aston Oroszlán,Nottingham,0,0
Tottenham,Brighton,2,0
Fulham,Crystal Palace,3,0
Everton,Liverpool,1,1
Brentford,Newcastle,1,1
Brighton,Everton,2,2
Liverpool,Brentford,2,0
London Ágyúk,Fulham,2,0
Wolverhampton,Tottenham,0,2
Newcastle,Crystal Palace,1,0
Nottingham,Manchester Kék,1,1
Vörös Ördögök,Aston Oroszlán,2,0
Chelsea,West Ham,1,0
West Ham,Nottingham,0,1
Everton,Wolverhampton,1,1
Manchester Kék,Vörös Ördögök,1,1
Brentford,Brighton,1,2
Aston Oroszlán,London Ágyúk,1,1
Crystal Palace,Liverpool,1,0
Fulham,Newcastle,1,0
Tottenham,Chelsea,0,1
Wolverhampton,Brentford,1,0
Nottingham,Tottenham,0,0
London Ágyúk,Manchester Kék,1,1
Liverpool,Newcastle,1,2
Vörös Ördögök,West Ham,2,0
Chelsea,Everton,2,1
Aston Oroszlán,Fulham,0,0
Brighton,Crystal Palace,1,0
Tottenham,Vörös Ördögök,0,1
Newcastle,Brighton,0,1
Fulham,Liverpool,0,0
Manchester Kék,Aston Oroszlán,0,0
Crystal Palace,Wolverhampton,1,0
Everton,Nottingham,0,0
Brentford,Chelsea,0,0
West Ham,London Ágyúk,0,2
Everton,Vörös Ördögök,1,1
Manchester Kék,Fulham,1,1
Liverpool,Brighton,1,0
Crystal Palace,Chelsea,0,0
Brentford,Nottingham,1,0
Tottenham,London Ágyúk,0,2
Newcastle,Wolverhampton,1,1
West Ham,Aston Oroszlán,0,0
Nottingham,Crystal Palace,2,1
Wolverhampton,Liverpool,0,0
London Ágyúk,Everton,0,2
Manchester Kék,West Ham,2,0
Fulham,Brighton,0,0
Chelsea,Newcastle,1,0
Aston Oroszlán,Tottenham,0,0
Vörös Ördögök,Brentford,1,1
Newcastle,Nottingham,0,0
Tottenham,Manchester Kék,0,1
Brentford,London Ágyúk,0,1
Brighton,Wolverhampton,2,1
West Ham,Fulham,0,1
Crystal Palace,Vörös Ördögök,0,1
Everton,Aston Oroszlán,2,0
Liverpool,Chelsea,2,0
Aston Oroszlán,Brentford,0,0
Fulham,Wolverhampton,1,1
London Ágyúk,Crystal Palace,3,0
Nottingham,Liverpool,2,0
Vörös Ördögök,Newcastle,1,1
Manchester Kék,Everton,1,0
West Ham,Tottenham,2,1
Chelsea,Brighton,1,0
